Fold,Best Method,Original Brier,Original Slope,Original Intercept,Isotonic Brier,Isotonic Slope,Isotonic Intercept,Sigmoid Brier,Sigmoid Slope,Sigmoid Intercept
1,Isotonic,0.07896568162260115,1.8887208171759522,-0.04847567681055233,0.07414752846852413,1.4406433084728485,-0.8086574230360072,0.07474004436272128,1.647586763229351,-0.7605598336590118
2,Isotonic,0.04142601780908212,1.9329799290368392,0.5565769231646848,0.023077588414297398,1.2427635482349637,0.009592320619048869,0.028787879610643972,1.5748385989675437,0.05981636854428427
3,Sigmoid,0.10007477514940542,1.4592682107470312,-0.2392003820142859,0.09959277175640703,0.7891060235907673,-0.3130475517813809,0.09231288970134037,1.135650269941,-0.3620298853858164
4,Isotonic,0.048985887084588196,1.7351605350944515,-0.03454746564875967,0.04642697901221876,1.2581695694688322,-0.27150844905313315,0.0477197606115658,1.5141803481836225,-0.4906870706160993
5,Sigmoid,0.07288342752425257,1.083796083622175,0.05298439839221166,0.07369677418291931,0.16602448271105044,0.4380064546090112,0.07087242680603323,1.0104639738615433,-0.14538881485786448
